"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.62653899910566,0.41,0.06,0,"4","IGLV6-57"
3.07923606545467e-261,5.61079923754534,0.292,0.046,6.35800662795081e-257,"4","IGKV3D-20"
1.31126899308503e-186,5.48310187656477,0.322,0.077,2.70750821692197e-182,"4","IGKV1-27"
1.02368646604907e-48,5.46914374667011,0.31,0.139,2.11370781509812e-44,"4","IGHV3-11"
2.50598480424965e-120,5.37978483948591,0.305,0.092,5.17435742381467e-116,"4","IGHV3-33"
3.7310198736937e-43,3.22992203313275,0.251,0.093,7.70380983520275e-39,"5","ST6GALNAC3"
9.270753041828e-109,3.0808568282581,0.528,0.22,1.91422508807664e-104,"5","PRKCE"
1.69441181110276e-111,3.02008419182422,0.628,0.331,3.49862150756499e-107,"5","EBF1"
5.01381315035023e-121,2.95803290283807,0.633,0.318,1.03525213928432e-116,"5","LINC01619"
2.75643424570359e-47,2.95140741831833,0.29,0.115,5.69148543052877e-43,"5","AUTS2"
1.99770503060854e-48,2.90666204069947,0.333,0.148,4.1248613472005e-44,"5","DLEU2"
6.72398062861355e-30,2.86960442093302,0.317,0.174,1.38836752019613e-25,"5","CCSER1"
7.54698047109419e-31,2.83082873949892,0.409,0.268,1.55830052767153e-26,"5","CMSS1"
2.78111123284275e-61,2.81762938725824,0.429,0.209,5.74243847357371e-57,"5","BTBD9"
6.74107082927648e-28,2.78312576307319,0.268,0.136,1.39189630482901e-23,"5","AC016831.7"
5.84163066385901e-197,4.55908639822777,0.328,0.043,1.20617989947361e-192,"6","HSPA6"
3.36287410355241e-309,4.5354477753055,0.799,0.226,6.94366244901502e-305,"6","HSPA1A"
1.60784353556366e-227,4.32355119572151,0.815,0.357,3.31987533223185e-223,"6","DNAJB1"
7.4579340507701e-276,4.25635561162312,0.824,0.284,1.53991422280301e-271,"6","HSPA1B"
9.13357465938548e-78,3.63683799299679,0.285,0.076,1.88590049566991e-73,"6","BAG3"
2.25589940312645e-80,3.20275129517004,0.513,0.243,4.6579810875755e-76,"6","HSPB1"
5.16359112210574e-91,3.04112599614494,0.652,0.384,1.06617829489239e-86,"6","GADD45B"
3.47523907384657e-45,3.02459457903917,0.339,0.145,7.17567363967841e-41,"6","TNF"
