"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.59831989266037e-35,1.14354073974386,0.469,0.182,9.49461091436513e-31,"7","CAB39"
5.13330773251728e-35,0.954116086281319,0.354,0.114,1.05992538061017e-30,"7","URM1"
5.23860578041357e-35,1.30424942270815,0.276,0.08,1.08166732153979e-30,"7","UBE2O"
5.27134395672596e-35,1.13738528718233,0.509,0.214,1.08842710018478e-30,"7","VAMP8"
5.32410368543725e-35,1.00020270263616,0.686,0.326,1.09932092896908e-30,"7","NFAT5"
5.37935310160971e-35,0.96898892133717,0.776,0.46,1.11072882842037e-30,"7","SRSF9"
6.55479149640611e-35,1.27003065724574,0.469,0.189,1.35343334817793e-30,"7","ST6GALNAC4"
6.93458033369497e-35,1.05555023032331,0.27,0.075,1.43185214730134e-30,"7","NCAPH2"
7.10047322682554e-35,0.945867266704851,0.512,0.209,1.46610571187494e-30,"7","MMADHC"
7.76847185766202e-35,0.861438428757888,0.761,0.396,1.60403406917005e-30,"7","SEPTIN6"
8.16477463278185e-35,0.950225945899943,0.562,0.238,1.6858626661768e-30,"7","MOB3A"
9.93366803991906e-35,0.91514693459535,0.404,0.146,2.05110377688249e-30,"7","TSPAN13"
1.05384501061047e-34,0.837585646408865,0.661,0.304,2.17597917790851e-30,"7","UBE2R2"
1.18368615644301e-34,1.08658519586169,0.28,0.079,2.44407517582352e-30,"7","MRPL49"
1.23808541622886e-34,1.05521633033085,0.36,0.12,2.55639876742935e-30,"7","LASP1"
1.29919835008523e-34,1.09866841597378,0.332,0.109,2.68258475325598e-30,"7","MRPS16"
1.34982381209849e-34,0.88462106668605,0.587,0.254,2.78711620722096e-30,"7","ANP32A"
1.49972489450102e-34,1.12144413247872,0.276,0.077,3.09663196216571e-30,"7","CNOT10"
1.55158629735003e-34,0.934713683656161,0.429,0.157,3.20371538676833e-30,"7","DDB1"
1.59321791637166e-34,0.922670588889887,0.444,0.167,3.28967635372421e-30,"7","VPS29"
1.77705842817935e-34,1.03425816165328,0.677,0.336,3.66927024250472e-30,"7","EBF1"
1.83993901099095e-34,0.790321523805264,0.773,0.413,3.79910606989412e-30,"7","FOXN3"
1.84342109595439e-34,1.03342102028999,0.301,0.091,3.80629587892662e-30,"7","DECR1"
1.90651845821841e-34,1.13100703879258,0.252,0.068,3.93657931252937e-30,"7","PRPF19"
1.96258291751535e-34,0.996077890857966,0.357,0.116,4.05234120808569e-30,"7","MRGBP"
2.02511609645467e-34,1.57552478111178,0.264,0.076,4.18145971595959e-30,"7","BNIP3"
2.11719541764462e-34,0.886115059489831,0.475,0.179,4.37158509835261e-30,"7","PXK"
2.31554761602922e-34,0.983901579115616,0.578,0.258,4.78114271757714e-30,"7","RABGEF1"
2.48683584429007e-34,1.09728254737126,0.373,0.129,5.13481865129014e-30,"7","TIFA"
2.63543267275915e-34,1.52033552323987,0.351,0.123,5.4416413827131e-30,"7","HIST1H3D"
2.90986634128245e-34,0.710054881623844,0.941,0.803,6.00829202148e-30,"7","RHOA"
3.03934012765236e-34,0.980724356695291,0.317,0.099,6.27562949557658e-30,"7","RRP36"
3.1333990606628e-34,0.775848188089132,0.602,0.263,6.46984238045654e-30,"7","MAPRE1"
3.51612367819452e-34,0.71810814690516,0.41,0.144,7.26009217073604e-30,"7","AHSA1"
3.62073395967472e-34,1.21567812742823,0.391,0.138,7.47609147993635e-30,"7","PTK2B"
3.65709403679899e-34,1.03730836636888,0.606,0.266,7.55116776718256e-30,"7","CDK13"
4.01066694116646e-34,0.846974010053619,0.354,0.115,8.28122510012051e-30,"7","SCP2"
4.12402165719578e-34,1.11244226506514,0.429,0.165,8.51527991777785e-30,"7","TMEM263"
4.38859059401436e-34,0.840966545058464,0.764,0.396,9.06156185852086e-30,"7","PNN"
4.74407383603866e-34,1.02998286031528,0.345,0.112,9.79556365665262e-30,"7","TAPT1"
4.75245929872649e-34,1.26351415031778,0.295,0.09,9.81287796001046e-30,"7","CD180"
4.96598534140884e-34,1.06585958284402,0.255,0.069,1.0253766532941e-29,"7","GRAMD1C"
5.11956233486229e-34,0.888282699134815,0.401,0.142,1.05708723090237e-29,"7","SNRPA"
5.34853369965812e-34,0.815366699638493,0.885,0.731,1.10436523830541e-29,"7","ARPC3"
5.46983483145641e-34,0.802086767883712,0.553,0.227,1.12941149599912e-29,"7","HVCN1"
5.83927447032329e-34,0.878126097257581,0.36,0.12,1.20569339263235e-29,"7","MAZ"
6.52796372881714e-34,1.14461213185084,0.301,0.092,1.34789395072616e-29,"7","IAH1"
6.66961124210776e-34,1.04701835724297,0.326,0.103,1.37714132927041e-29,"7","WDFY2"
7.12235961815047e-34,0.937961736393236,0.332,0.106,1.47062481395571e-29,"7","INO80E"
7.96547495892702e-34,1.01297560510699,0.82,0.536,1.64471126951925e-29,"7","PDIA3"
7.96624444661321e-34,0.965638927209807,0.596,0.264,1.6448701533367e-29,"7","VASP"
8.11683699453106e-34,1.10081937274375,0.404,0.151,1.67596450263077e-29,"7","TXNDC17"
8.23222279279296e-34,1.11419786029583,0.307,0.096,1.69978936225589e-29,"7","IDH3G"
9.38369529080259e-34,0.946627860598823,0.506,0.207,1.93754540364492e-29,"7","SUGT1"
1.03861466182413e-33,0.869751744219789,0.472,0.185,2.14453155373447e-29,"7","PSMD2"
1.07513918074486e-33,0.884738128187293,0.724,0.375,2.21994738040198e-29,"7","EWSR1"
1.08500987737467e-33,1.01778653054923,0.776,0.461,2.24032839480322e-29,"7","GYPC"
1.09470162640549e-33,0.972018144038372,0.401,0.141,2.26033991820205e-29,"7","PHF6"
1.1573834079822e-33,0.805814471659386,0.68,0.327,2.38976526080164e-29,"7","VDAC1"
1.19744376512467e-33,0.993071822906003,0.342,0.112,2.47248188622941e-29,"7","AK6"
1.31097234158513e-33,0.823567218254379,0.655,0.311,2.70689569090498e-29,"7","RTRAF"
1.37495989477269e-33,0.94145620890282,0.708,0.386,2.83901719072664e-29,"7","SRSF2"
1.43197023721353e-33,1.11186661222856,0.252,0.069,2.95673214579849e-29,"7","SEH1L"
1.44454339069601e-33,0.761750298029449,0.382,0.128,2.98269319310912e-29,"7","RUFY1"
1.83397742125244e-33,0.835664589894714,0.575,0.248,3.78679657940204e-29,"7","UBE2K"
1.95409399497898e-33,1.01573447057244,0.379,0.131,4.03481328083259e-29,"7","FBXL5"
2.05794909758128e-33,0.969001516850557,0.453,0.177,4.24925329668583e-29,"7","PSMD14"
2.09174236797534e-33,0.916565026233548,0.742,0.412,4.31902964139548e-29,"7","UBE2I"
2.14954659726567e-33,0.965168989483974,0.901,0.684,4.43838381403416e-29,"7","HLA-DMA"
2.51256719144824e-33,0.791403870499233,0.5,0.199,5.18794873690232e-29,"7","GNL1"
2.52596201284123e-33,1.2276860736611,0.345,0.115,5.21560636411457e-29,"7","MSL2"
2.61968568588204e-33,1.04955141489072,0.339,0.109,5.40912700420923e-29,"7","CIITA"
2.62397657041844e-33,0.927976610965031,0.5,0.196,5.4179868226e-29,"7","PTDSS1"
2.65150093060249e-33,1.29852701442423,0.497,0.22,5.47481912150801e-29,"7","PRDX2"
2.73166351164746e-33,0.828645960336711,0.404,0.142,5.64033881884968e-29,"7","SMS"
4.18778770700747e-33,0.825735903941801,0.438,0.162,8.64694405742902e-29,"7","RBBP8"
4.27368616688704e-33,0.908117371388899,0.36,0.123,8.82430719738836e-29,"7","SNF8"
4.54587321746658e-33,0.864148421764421,0.832,0.536,9.38631901942499e-29,"7","IFI30"
4.57646745162409e-33,0.773947479129102,0.599,0.264,9.44948999411341e-29,"7","SUMO1"
5.30700113022191e-33,0.961578712217482,0.45,0.173,1.09578959336822e-28,"7","DMTF1"
5.51106084119912e-33,0.96859081395445,0.379,0.131,1.1379238424908e-28,"7","PACSIN2"
6.54964995185287e-33,0.950079546592581,0.581,0.262,1.35237172205858e-28,"7","UBE2L3"
6.80729298373853e-33,0.925083038356773,0.435,0.167,1.40556985528233e-28,"7","H2AFX"
7.09678981276508e-33,0.84392941235338,0.543,0.225,1.46534516053973e-28,"7","WAPL"
7.2683683394657e-33,0.959308325898821,0.736,0.444,1.50077269473288e-28,"7","ELOB"
7.67437590685089e-33,1.04515281641493,0.901,0.729,1.58460513724657e-28,"7","SYNGR2"
1.08142303762309e-32,0.890759601655244,0.295,0.09,2.23292228808416e-28,"7","NUDT16L1"
1.1667454842064e-32,0.903110417759748,0.571,0.249,2.40909607578937e-28,"7","G3BP1"
1.23097507723106e-32,1.28719177646549,0.258,0.074,2.54171733946669e-28,"7","INPP5K"
1.32429352459605e-32,1.09232373361388,0.276,0.081,2.73440126958593e-28,"7","RPP30"
1.39127311875771e-32,0.971810048251561,0.54,0.242,2.87270073561093e-28,"7","MDH2"
1.49130668079888e-32,0.639706951357181,0.935,0.866,3.07925003451354e-28,"7","OAZ1"
1.53418472766159e-32,1.05579928080361,0.342,0.112,3.16778462567565e-28,"7","CMIP"
1.57715323419957e-32,1.24844713013754,0.376,0.141,3.25650599797527e-28,"7","DCTN3"
1.58413949184191e-32,0.882818318388971,0.32,0.102,3.27093122275518e-28,"7","FKBP3"
1.61024835114352e-32,0.732886850790594,0.5,0.196,3.32484079544113e-28,"7","USP22"
1.616446061097e-32,1.04157100760732,0.292,0.089,3.33763782695309e-28,"7","SLC12A2"
1.67620074503097e-32,0.924835544859409,0.55,0.247,3.46101929833994e-28,"7","NEDD8"
1.8431837104004e-32,0.824013451703924,0.391,0.14,3.80580572523475e-28,"7","TMEM183A"
1.93173817237464e-32,0.896151119418221,0.366,0.127,3.98865297831916e-28,"7","SLC30A5"
1.96980281427015e-32,1.01200870092872,0.441,0.174,4.067248850905e-28,"7","SNRPC"
2.02213857740777e-32,0.797081912483936,0.894,0.655,4.17531173463157e-28,"7","FAM107B"
2.04223330049913e-32,0.986234906243599,0.267,0.076,4.2168033188706e-28,"7","NUP62"
2.0460408867684e-32,0.823769431481175,0.618,0.284,4.2246652229994e-28,"7","NAA50"
2.05582241738123e-32,0.859326481714225,0.329,0.105,4.24486212740876e-28,"7","ARL6IP6"
2.09950258967901e-32,0.740153924104418,0.68,0.337,4.33505294716923e-28,"7","EIF4A3"
2.19137643309216e-32,1.24694803079341,0.512,0.234,4.52475405904869e-28,"7","RPS27L"
