"UMAP_1","UMAP_2","curve_order_value","Lineage","order"
-1.39550702921728,0.477126507259485,43,"Lineage_3",43
-1.29679462553357,0.450867811651544,44,"Lineage_3",44
-1.19891508311739,0.421658421907538,45,"Lineage_3",45
-1.10195093182606,0.389534080507167,46,"Lineage_3",46
-1.00603246157464,0.35440622168394,47,"Lineage_3",47
-0.910982223488959,0.316981924561125,48,"Lineage_3",48
-0.816689435427049,0.27768828548873,49,"Lineage_3",49
-0.72317936557271,0.236572437379179,50,"Lineage_3",50
-0.630359384492227,0.193913180884091,51,"Lineage_3",51
-0.537969093724143,0.150330260955676,52,"Lineage_3",52
-0.446105407346232,0.105647859056073,53,"Lineage_3",53
-0.354615881265883,0.0602039227643273,54,"Lineage_3",54
-0.263478747057185,0.0140575950937294,55,"Lineage_3",55
-0.172847314543831,-0.0330752572826677,56,"Lineage_3",56
-0.0823979426574518,-0.0805561628978258,57,"Lineage_3",57
0.00768052336319746,-0.128734943609159,58,"Lineage_3",58
0.0969361307018782,-0.178420343750116,59,"Lineage_3",59
0.185359608604129,-0.229571448308755,60,"Lineage_3",60
0.27267247892916,-0.282594449329465,61,"Lineage_3",61
0.358902324813464,-0.337361517863556,62,"Lineage_3",62
0.444019260070463,-0.393842321897531,63,"Lineage_3",63
0.527690156730368,-0.452443452910241,64,"Lineage_3",64
0.610036570118448,-0.51289002363349,65,"Lineage_3",65
0.690947342310966,-0.575246402253148,66,"Lineage_3",66
0.769616675043365,-0.640404740945058,67,"Lineage_3",67
0.846268535928738,-0.707920270598141,68,"Lineage_3",68
0.920985500594432,-0.777575428948169,69,"Lineage_3",69
0.994035015024241,-0.84898117037318,70,"Lineage_3",70
1.06542096803352,-0.922051089077448,71,"Lineage_3",71
1.1353626719572,-0.996502904178601,72,"Lineage_3",72
1.20384263781413,-1.07230076787988,73,"Lineage_3",73
1.27087808518027,-1.14937911768456,74,"Lineage_3",74
1.33651501120625,-1.22765247922549,75,"Lineage_3",75
1.40081889857759,-1.30702530937743,76,"Lineage_3",76
1.46390068513383,-1.38737377908411,77,"Lineage_3",77
1.52588239094972,-1.46857455910465,78,"Lineage_3",78
1.58692019563977,-1.55048783408698,79,"Lineage_3",79
1.64719829218427,-1.63296220452263,80,"Lineage_3",80
1.70696338629807,-1.71580943508218,81,"Lineage_3",81
1.7664776084658,-1.79883726196563,82,"Lineage_3",82
1.82604607235591,-1.88182622130188,83,"Lineage_3",83
1.88602671350612,-1.96451749820517,84,"Lineage_3",84
1.94684005718779,-2.04659727270643,85,"Lineage_3",85
2.00895515099552,-2.12769403870797,86,"Lineage_3",86
