gene_id,gene_short_name,num_cells_expressed,is_receptor_gene
IGHV1OR21-1,IGHV1OR21-1,31,TRUE
IGKV1OR22-5,IGKV1OR22-5,25,TRUE
IGKV2OR22-4,IGKV2OR22-4,69,TRUE
IGLVI-70,IGLVI-70,134,TRUE
IGLV4-69,IGLV4-69,1724,TRUE
IGLV10-54,IGLV10-54,228,TRUE
IGLV8-61,IGLV8-61,532,TRUE
IGLV4-60,IGLV4-60,164,TRUE
IGLV6-57,IGLV6-57,1373,TRUE
IGLV11-55,IGLV11-55,13,TRUE
IGLV5-52,IGLV5-52,105,TRUE
IGLV1-51,IGLV1-51,4561,TRUE
IGLV1-50,IGLV1-50,28,TRUE
IGLV9-49,IGLV9-49,234,TRUE
IGLV5-48,IGLV5-48,64,TRUE
IGLV1-47,IGLV1-47,1355,TRUE
IGLV7-46,IGLV7-46,287,TRUE
IGLV5-45,IGLV5-45,235,TRUE
IGLV1-44,IGLV1-44,2566,TRUE
IGLV7-43,IGLV7-43,117,TRUE
IGLV1-41,IGLV1-41,56,TRUE
IGLV1-40,IGLV1-40,3337,TRUE
IGLV5-37,IGLV5-37,62,TRUE
IGLV1-36,IGLV1-36,86,TRUE
IGLV2-34,IGLV2-34,35,TRUE
IGLV2-28,IGLV2-28,12,TRUE
IGLV3-27,IGLV3-27,613,TRUE
IGLV3-25,IGLV3-25,1907,TRUE
IGLV3-24,IGLV3-24,11,TRUE
IGLV2-23,IGLV2-23,3372,TRUE
IGLV3-21,IGLV3-21,5359,TRUE
IGLV3-19,IGLV3-19,4623,TRUE
IGLV2-18,IGLV2-18,166,TRUE
IGLV3-16,IGLV3-16,121,TRUE
IGLV2-14,IGLV2-14,9459,TRUE
IGLV3-13,IGLV3-13,14,TRUE
IGLV3-12,IGLV3-12,90,TRUE
IGLV2-11,IGLV2-11,4195,TRUE
IGLV3-10,IGLV3-10,603,TRUE
IGLV3-9,IGLV3-9,280,TRUE
IGLV2-8,IGLV2-8,2297,TRUE
IGLV3-6,IGLV3-6,33,TRUE
IGLV2-5,IGLV2-5,309,TRUE
IGLV4-3,IGLV4-3,143,TRUE
IGLV3-1,IGLV3-1,5404,TRUE
IGLJ1,IGLJ1,289,TRUE
IGLC1,IGLC1,1951,TRUE
IGLJ2,IGLJ2,41,TRUE
IGLC2,IGLC2,2218,TRUE
IGLJ3,IGLJ3,15,TRUE
IGLC3,IGLC3,2546,TRUE
IGLC5,IGLC5,11,TRUE
IGLC6,IGLC6,78,TRUE
IGLJ7,IGLJ7,17,TRUE
IGLC7,IGLC7,217,TRUE
