"clone_subgroup_id","size","n_cluster","clusters"
"12_1",2,2,"IgD-ve Memory; IgD+ve Memory"
"1305_1",2,2,"Cell-Cycling; NAIVE 1"
"1316_1",2,1,"ASC 3"
"1326_1",2,1,"ASC 3"
"1335_1",2,1,"IgD+ve Memory"
"1336_1",2,1,"ASC 2"
"1362_1",2,1,"ASC 2"
"1402_1",2,2,"ASC 2; NAIVE 1"
"140_1",2,2,"ASC 1; ASC 2"
"1428_1",2,1,"ASC 2"
"1479_1",2,1,"IgD-ve Memory"
"1487_1",2,1,"ASC 2"
"1508_1",2,1,"ASC 2"
"1517_1",2,1,"ASC 2"
"1537_1",2,1,"ASC 2"
"1538_1",2,1,"ASC 2"
"1556_1",2,2,"IgD-ve Memory; IgD+ve Memory"
"155_1",2,2,"HSP+; IgD+ve Memory"
"1560_1",2,1,"NAIVE 1"
"157_1",2,1,"IgD-ve Memory"
"1587_1",2,1,"ASC 2"
"1598_1",2,1,"ASC 2"
"1608_1",2,2,"ASC 1; ASC 2"
"160_1",2,2,"IgD-ve Memory; IgD+ve Memory"
"1619_1",2,1,"IgD-ve Memory"
"1679_1",2,1,"IgD+ve Memory"
"1685_1",2,1,"ASC 2"
"1689_1",2,2,"Early-Activation; IgD+ve Memory"
"1703_1",2,2,"IgD-ve Memory; IgD+ve Memory"
"1744_1",2,1,"ASC 3"
"1749_1",2,2,"ASC 2; NAIVE 1"
"175_1",2,1,"ASC 2"
"1763_1",2,1,"ASC 2"
"1764_1",2,1,"ASC 2"
"1780_1",2,2,"ASC 2; Cell-Cycling"
"1782_1",2,1,"Cell-Cycling"
"1799_1",2,2,"ASC 2; Cell-Cycling"
"1826_1",2,1,"NAIVE 2"
"1833_1",2,1,"IgD+ve Memory"
"1845_1",2,2,"ASC 1; NAIVE 1"
"1857_1",2,1,"ASC 2"
"1859_1",2,2,"ASC 1; ASC 2"
"1894_1",2,2,"ASC 2; NAIVE 2"
"1898_1",2,2,"ASC 1; ASC 2"
"192_1",2,1,"ASC 2"
"229_1",2,1,"ASC 2"
"235_1",2,1,"Cell-Cycling"
"254_1",2,1,"ASC 2"
"25_1",2,2,"ASC 3; DN2"
"262_1",2,1,"ASC 2"
"267_1",2,1,"ASC 2"
"279_1",2,1,"ASC 2"
"297_1",2,1,"IgD+ve Memory"
"31_1",2,2,"ASC 2; IgD-ve Memory"
"324_1",2,1,"ASC 3"
"333_1",2,1,"ASC 2"
"337_1",2,1,"ASC 2"
"356_1",2,1,"ASC 2"
"367_1",2,1,"ASC 2"
"368_1",2,1,"IgD-ve Memory"
"372_1",2,1,"ASC 2"
"381_1",2,1,"ASC 2"
"385_1",2,2,"ASC 1; ASC 2"
"388_1",2,2,"ASC 1; ASC 2"
"399_1",2,2,"IgD-ve Memory; IgD+ve Memory"
"413_1",2,2,"ASC 3; Cell-Cycling"
"425_1",2,1,"ASC 2"
"444_1",2,2,"IgD-ve Memory; IgD+ve Memory"
"469_1",2,1,"ASC 3"
"46_1",2,2,"ASC 2; NAIVE 1"
"496_1",2,1,"ASC 2"
"512_1",2,2,"ASC 2; NAIVE 2"
"531_1",2,1,"ASC 2"
"540_1",2,2,"ASC 1; ASC 2"
"545_1",2,2,"ASC 2; HSP+"
"565_1",2,1,"ASC 2"
"572_1",2,2,"ASC 2; Cell-Cycling"
"583_1",2,1,"ASC 2"
"594_1",2,1,"ASC 2"
"597_1",2,2,"Early-Activation; IgD+ve Memory"
"598_1",2,1,"ASC 2"
"617_1",2,1,"IgD+ve Memory"
"619_1",2,1,"ASC 2"
"62_1",2,1,"ASC 2"
"692_1",2,1,"ASC 2"
"693_1",2,1,"ASC 2"
"703_1",2,1,"Cell-Cycling"
"70_1",2,2,"ASC 2; Early-Activation"
"722_1",2,1,"IgD+ve Memory"
"730_1",2,1,"NAIVE 2"
"741_1",2,2,"IgD-ve Memory; IgD+ve Memory"
"742_1",2,2,"IgD-ve Memory; IgD+ve Memory"
"743_1",2,1,"IgD+ve Memory"
"772_1",2,1,"ASC 2"
"807_1",2,1,"ASC 2"
"80_1",2,1,"NAIVE 1"
"816_1",2,1,"ASC 1"
"848_1",2,2,"IgD-ve Memory; IgD+ve Memory"
"851_1",2,1,"IgD-ve Memory"
"854_1",2,1,"ASC 2"
"862_1",2,1,"ASC 2"
"866_1",2,2,"ASC 1; ASC 2"
"881_1",2,1,"Cell-Cycling"
"889_1",2,1,"IgD+ve Memory"
"896_1",2,1,"ASC 2"
"911_1",2,2,"ASC 2; NAIVE 1"
"921_1",2,1,"ASC 2"
"92_1",2,1,"ASC 2"
"939_1",2,1,"ASC 2"
"944_1",2,1,"ASC 2"
"95_1",2,2,"IgD-ve Memory; IgD+ve Memory"
"976_1",2,2,"IgD-ve Memory; IgD+ve Memory"
"1001_1",1,1,"IgD+ve Memory"
"1002_1",1,1,"IgD+ve Memory"
"1003_1",1,1,"IgD+ve Memory"
"1004_1",1,1,"Cell-Cycling"
"1005_1",1,1,"IgD+ve Memory"
"1006_1",1,1,"IgD+ve Memory"
"1007_1",1,1,"ASC 2"
"1008_1",1,1,"Cell-Cycling"
"1009_1",1,1,"NAIVE 2"
"100_1",1,1,"ASC 2"
"1010_1",1,1,"Early-Activation"
"1011_1",1,1,"ASC 2"
"1012_1",1,1,"IgD-ve Memory"
"1013_1",1,1,"DN2"
"1014_2",1,1,"IgD+ve Memory"
"1015_1",1,1,"Cell-Cycling"
"1016_1",1,1,"ASC 2"
"1016_2",1,1,"NAIVE 2"
"1017_1",1,1,"IgD+ve Memory"
"1018_2",1,1,"IgD+ve Memory"
"1019_1",1,1,"NAIVE 2"
"101_1",1,1,"IgD-ve Memory"
"1020_1",1,1,"IgD-ve Memory"
"1021_1",1,1,"IgD+ve Memory"
"1022_1",1,1,"NAIVE 1"
"1023_1",1,1,"NAIVE 1"
"1024_1",1,1,"NAIVE 2"
"1025_1",1,1,"DN2"
"1026_1",1,1,"NAIVE 1"
"1027_1",1,1,"IgD+ve Memory"
"1028_1",1,1,"Cell-Cycling"
"1029_2",1,1,"IgD+ve Memory"
"1029_3",1,1,"IgD+ve Memory"
"1029_4",1,1,"IgD+ve Memory"
"1030_1",1,1,"IgD-ve Memory"
"1031_1",1,1,"IgD+ve Memory"
"1032_1",1,1,"IgD+ve Memory"
"1033_1",1,1,"ASC 2"
"1034_1",1,1,"NAIVE 1"
"1035_1",1,1,"NAIVE 1"
"1036_1",1,1,"NAIVE 1"
"1037_1",1,1,"ASC 2"
"1038_1",1,1,"NAIVE 2"
"1039_1",1,1,"IgD+ve Memory"
"103_1",1,1,"Cell-Cycling"
"1040_1",1,1,"NAIVE 1"
"1041_1",1,1,"Cell-Cycling"
"1042_2",1,1,"IgD+ve Memory"
"1042_3",1,1,"IgD-ve Memory"
"1042_4",1,1,"IgD+ve Memory"
"1043_1",1,1,"IgD+ve Memory"
"1044_1",1,1,"IgD-ve Memory"
"1045_1",1,1,"NAIVE 1"
"1046_1",1,1,"IgD+ve Memory"
"1047_1",1,1,"IgD+ve Memory"
"1048_1",1,1,"IgD+ve Memory"
"1049_1",1,1,"IgD+ve Memory"
"104_1",1,1,"IgD-ve Memory"
"1050_1",1,1,"ASC 2"
"1051_1",1,1,"NAIVE 2"
"1052_1",1,1,"NAIVE 2"
"1053_1",1,1,"ASC 2"
"1054_1",1,1,"NAIVE 2"
"1055_1",1,1,"IgD+ve Memory"
"1056_1",1,1,"IgD-ve Memory"
"1057_1",1,1,"NAIVE 2"
"1058_1",1,1,"IgD+ve Memory"
"1059_1",1,1,"IgD-ve Memory"
"1060_1",1,1,"NAIVE 1"
"1060_2",1,1,"IgD+ve Memory"
"1062_1",1,1,"IgD+ve Memory"
"1063_1",1,1,"IgD+ve Memory"
"1064_1",1,1,"NAIVE 1"
"1065_1",1,1,"NAIVE 2"
"1066_1",1,1,"NAIVE 2"
"1067_1",1,1,"ASC 3"
"1069_1",1,1,"ASC 2"
"106_1",1,1,"NAIVE 2"
"1070_1",1,1,"NAIVE 2"
"1071_1",1,1,"NAIVE 1"
"1071_2",1,1,"NAIVE 1"
"1071_3",1,1,"IgD-ve Memory"
"1071_4",1,1,"NAIVE 1"
"1071_5",1,1,"NAIVE 2"
"1072_1",1,1,"NAIVE 1"
"1073_1",1,1,"ASC 2"
"1074_1",1,1,"NAIVE 2"
"1075_1",1,1,"IgD+ve Memory"
"1076_1",1,1,"NAIVE 1"
"1077_1",1,1,"NAIVE 1"
"1078_1",1,1,"ASC 3"
"1079_1",1,1,"IgD+ve Memory"
"107_1",1,1,"DN2"
"1080_1",1,1,"NAIVE 2"
"1081_2",1,1,"Cell-Cycling"
"1083_1",1,1,"IgD+ve Memory"
"1084_1",1,1,"Cell-Cycling"
"1085_1",1,1,"ASC 2"
"1086_1",1,1,"IgD-ve Memory"
"1087_1",1,1,"ASC 2"
"1088_1",1,1,"NAIVE 1"
"1089_1",1,1,"ASC 3"
"108_1",1,1,"IgD-ve Memory"
"1090_1",1,1,"DN2"
"1091_1",1,1,"IgD+ve Memory"
"1092_1",1,1,"IgD+ve Memory"
"1093_1",1,1,"IgD-ve Memory"
"1094_1",1,1,"ASC 2"
"1096_1",1,1,"IgD+ve Memory"
"1097_1",1,1,"IgD+ve Memory"
"1098_1",1,1,"ASC 2"
"1099_1",1,1,"NAIVE 2"
"10_1",1,1,"Cell-Cycling"
"1100_1",1,1,"IgD+ve Memory"
"1101_1",1,1,"IgD+ve Memory"
"1102_1",1,1,"NAIVE 2"
"1103_1",1,1,"NAIVE 2"
"1104_1",1,1,"Cell-Cycling"
"1105_1",1,1,"NAIVE 1"
"1106_1",1,1,"NAIVE 1"
"1107_1",1,1,"IgD-ve Memory"
"1108_1",1,1,"NAIVE 1"
"1108_2",1,1,"Early-Activation"
"1109_1",1,1,"ASC 2"
"110_1",1,1,"ASC 2"
"1110_1",1,1,"HSP+"
"1111_1",1,1,"Cell-Cycling"
"1112_1",1,1,"NAIVE 1"
"1114_1",1,1,"IgD-ve Memory"
"1114_2",1,1,"Early-Activation"
"1115_1",1,1,"NAIVE 1"
"1116_1",1,1,"IgD-ve Memory"
"1117_1",1,1,"ASC 2"
"1119_1",1,1,"IgD-ve Memory"
"1120_1",1,1,"IgD+ve Memory"
"1121_1",1,1,"ASC 2"
"1122_1",1,1,"ASC 2"
"1123_1",1,1,"NAIVE 1"
"1124_1",1,1,"IgD+ve Memory"
"1125_1",1,1,"ASC 2"
"1126_1",1,1,"NAIVE 1"
"1126_2",1,1,"ASC 2"
"1127_1",1,1,"ASC 2"
"1128_1",1,1,"NAIVE 1"
"1129_2",1,1,"NAIVE 1"
"112_1",1,1,"ASC 2"
"1130_1",1,1,"NAIVE 1"
"1131_1",1,1,"ASC 2"
"1132_1",1,1,"ASC 2"
"1133_1",1,1,"IgD-ve Memory"
"1134_1",1,1,"ASC 3"
"1135_1",1,1,"IgD+ve Memory"
"1136_1",1,1,"IgD-ve Memory"
"1137_1",1,1,"IgD-ve Memory"
"1138_1",1,1,"Early-Activation"
"1139_1",1,1,"IgD+ve Memory"
"113_1",1,1,"IgD+ve Memory"
"1140_1",1,1,"IgD-ve Memory"
"1141_1",1,1,"NAIVE 1"
"1142_1",1,1,"IgD-ve Memory"
"1143_1",1,1,"ASC 3"
"1144_1",1,1,"IgD-ve Memory"
"1145_1",1,1,"ASC 3"
"1146_1",1,1,"NAIVE 1"
"1147_1",1,1,"NAIVE 1"
"1148_1",1,1,"Cell-Cycling"
"1149_1",1,1,"NAIVE 1"
"114_1",1,1,"Cell-Cycling"
"1150_1",1,1,"NAIVE 1"
"1151_1",1,1,"ASC 2"
"1152_1",1,1,"IgD-ve Memory"
"1153_1",1,1,"ASC 2"
"1154_1",1,1,"IgD-ve Memory"
"1155_1",1,1,"NAIVE 1"
"1156_1",1,1,"ASC 2"
"1157_1",1,1,"IgD+ve Memory"
"1158_1",1,1,"NAIVE 2"
"1159_1",1,1,"NAIVE 1"
"115_1",1,1,"ASC 2"
"1160_1",1,1,"ASC 2"
"1162_1",1,1,"IgD-ve Memory"
"1164_1",1,1,"NAIVE 1"
"1166_1",1,1,"NAIVE 2"
"1167_1",1,1,"ASC 3"
"1168_1",1,1,"NAIVE 2"
"1169_1",1,1,"NAIVE 1"
"1171_1",1,1,"NAIVE 2"
"1172_1",1,1,"ASC 2"
"1173_1",1,1,"IgD+ve Memory"
"1174_1",1,1,"NAIVE 1"
"1176_1",1,1,"Early-Activation"
"1177_1",1,1,"ASC 2"
"1178_1",1,1,"IgD-ve Memory"
"1179_1",1,1,"IgD-ve Memory"
"1179_2",1,1,"ASC 2"
"1179_3",1,1,"IgD+ve Memory"
"1180_1",1,1,"HSP+"
"1181_1",1,1,"NAIVE 1"
"1182_1",1,1,"IgD-ve Memory"
"1183_1",1,1,"IgD+ve Memory"
"1184_1",1,1,"ASC 2"
"1185_1",1,1,"ASC 2"
"1186_1",1,1,"NAIVE 2"
"1187_1",1,1,"NAIVE 1"
"1188_1",1,1,"NAIVE 1"
"1189_1",1,1,"ASC 3"
"1191_1",1,1,"ASC 2"
"1192_1",1,1,"ASC 1"
"1193_1",1,1,"NAIVE 1"
"1194_1",1,1,"ASC 3"
"1195_1",1,1,"ASC 2"
"1196_1",1,1,"ASC 1"
"1197_1",1,1,"ASC 2"
"1198_1",1,1,"IgD+ve Memory"
"1199_1",1,1,"IgD+ve Memory"
"119_1",1,1,"ASC 2"
"11_1",1,1,"ASC 2"
"1200_1",1,1,"ASC 2"
"1201_1",1,1,"Cell-Cycling"
"1202_1",1,1,"NAIVE 2"
"1203_1",1,1,"IgD-ve Memory"
"1204_1",1,1,"NAIVE 2"
"1206_1",1,1,"IgD+ve Memory"
"1207_1",1,1,"IgD+ve Memory"
"1208_1",1,1,"IgD-ve Memory"
"1209_1",1,1,"NAIVE 2"
"120_1",1,1,"ASC 2"
"1210_1",1,1,"IgD-ve Memory"
"1211_1",1,1,"IgD-ve Memory"
"1212_1",1,1,"NAIVE 1"
"1213_2",1,1,"NAIVE 1"
"1214_1",1,1,"IgD-ve Memory"
"1215_1",1,1,"IgD-ve Memory"
"1216_1",1,1,"ASC 1"
"1217_1",1,1,"ASC 2"
"1218_1",1,1,"IgD+ve Memory"
"1218_2",1,1,"IgD+ve Memory"
"1219_1",1,1,"IgD+ve Memory"
"121_1",1,1,"ASC 2"
"1220_1",1,1,"IgD+ve Memory"
"1221_1",1,1,"IgD-ve Memory"
"1222_2",1,1,"NAIVE 1"
"1222_3",1,1,"IgD+ve Memory"
"1222_4",1,1,"IgD+ve Memory"
"1222_5",1,1,"IgD+ve Memory"
"1222_6",1,1,"IgD+ve Memory"
"1223_1",1,1,"ASC 2"
"1224_1",1,1,"NAIVE 1"
"1225_1",1,1,"ASC 2"
"1226_1",1,1,"NAIVE 1"
"1227_1",1,1,"IgD-ve Memory"
"1228_1",1,1,"ASC 2"
"122_1",1,1,"ASC 2"
"1230_1",1,1,"IgD-ve Memory"
"1231_1",1,1,"NAIVE 2"
"1232_1",1,1,"Cell-Cycling"
"1233_1",1,1,"IgD-ve Memory"
"1234_1",1,1,"ASC 3"
"1235_1",1,1,"ASC 3"
"1236_1",1,1,"ASC 2"
"1237_1",1,1,"ASC 3"
"1239_1",1,1,"ASC 2"
"123_1",1,1,"ASC 2"
"1241_1",1,1,"NAIVE 2"
"1242_1",1,1,"Cell-Cycling"
"1243_1",1,1,"ASC 2"
"1245_1",1,1,"Cell-Cycling"
"1248_1",1,1,"IgD-ve Memory"
"1249_1",1,1,"ASC 2"
"124_1",1,1,"NAIVE 2"
"1250_1",1,1,"NAIVE 2"
"1251_1",1,1,"NAIVE 1"
"1252_3",1,1,"IgD+ve Memory"
"1252_4",1,1,"DN2"
"1253_1",1,1,"ASC 2"
"1254_2",1,1,"ASC 2"
"1255_1",1,1,"ASC 2"
"1256_1",1,1,"Cell-Cycling"
"1257_1",1,1,"IgD-ve Memory"
"1258_1",1,1,"IgD+ve Memory"
"1259_1",1,1,"IgD-ve Memory"
"125_1",1,1,"IgD-ve Memory"
"1260_1",1,1,"IgD-ve Memory"
"1261_1",1,1,"ASC 2"
"1263_1",1,1,"ASC 2"
"1264_1",1,1,"NAIVE 2"
"1265_1",1,1,"IgD-ve Memory"
"1265_2",1,1,"Early-Activation"
"1266_1",1,1,"ASC 2"
"1267_1",1,1,"IgD+ve Memory"
"1268_1",1,1,"IgD+ve Memory"
"1269_1",1,1,"ASC 2"
"126_1",1,1,"ASC 2"
"1270_1",1,1,"IgD+ve Memory"
"1272_1",1,1,"IgD-ve Memory"
"1273_1",1,1,"IgD-ve Memory"
"1274_1",1,1,"IgD+ve Memory"
"1275_1",1,1,"ASC 2"
"1276_1",1,1,"IgD+ve Memory"
"1277_1",1,1,"IgD+ve Memory"
"1278_1",1,1,"ASC 3"
"1278_2",1,1,"IgD+ve Memory"
"1279_1",1,1,"IgD-ve Memory"
"127_1",1,1,"NAIVE 2"
"1280_1",1,1,"NAIVE 1"
"1281_1",1,1,"ASC 2"
"1285_1",1,1,"ASC 2"
"1288_1",1,1,"IgD+ve Memory"
"1289_1",1,1,"IgD-ve Memory"
"128_1",1,1,"HSP+"
"1290_1",1,1,"IgD+ve Memory"
"1293_1",1,1,"ASC 2"
"1294_1",1,1,"NAIVE 1"
"1296_1",1,1,"IgD+ve Memory"
"1298_1",1,1,"NAIVE 2"
"1299_1",1,1,"IgD-ve Memory"
"129_1",1,1,"NAIVE 1"
"1300_1",1,1,"IgD+ve Memory"
"1301_1",1,1,"IgD+ve Memory"
"1302_1",1,1,"IgD+ve Memory"
"1303_1",1,1,"ASC 2"
"1304_1",1,1,"ASC 2"
"1306_1",1,1,"ASC 2"
"1307_1",1,1,"IgD+ve Memory"
"1308_1",1,1,"ASC 2"
"1309_1",1,1,"NAIVE 1"
"130_1",1,1,"ASC 2"
"1310_1",1,1,"ASC 3"
"1311_1",1,1,"NAIVE 2"
"1312_1",1,1,"ASC 2"
"1313_1",1,1,"ASC 2"
"1314_1",1,1,"IgD-ve Memory"
"1315_1",1,1,"ASC 3"
"1317_1",1,1,"ASC 3"
"1318_1",1,1,"ASC 3"
"131_1",1,1,"ASC 2"
"1320_1",1,1,"IgD+ve Memory"
"1321_1",1,1,"NAIVE 1"
"1322_1",1,1,"IgD+ve Memory"
"1323_1",1,1,"ASC 3"
"1324_1",1,1,"ASC 2"
"1325_1",1,1,"Early-Activation"
"1328_1",1,1,"NAIVE 1"
"1329_1",1,1,"ASC 2"
"132_1",1,1,"IgD-ve Memory"
"1330_1",1,1,"NAIVE 1"
"1331_1",1,1,"ASC 3"
"1332_1",1,1,"NAIVE 1"
"1333_1",1,1,"NAIVE 1"
"1334_1",1,1,"NAIVE 2"
"1337_1",1,1,"ASC 2"
"1338_1",1,1,"ASC 2"
"1339_1",1,1,"IgD+ve Memory"
"1340_1",1,1,"NAIVE 1"
"1341_1",1,1,"NAIVE 2"
"1342_1",1,1,"IgD-ve Memory"
"1343_1",1,1,"ASC 2"
"1344_1",1,1,"NAIVE 2"
"1345_1",1,1,"ASC 3"
"1347_1",1,1,"IgD-ve Memory"
"1348_1",1,1,"ASC 3"
"1349_1",1,1,"ASC 3"
"134_1",1,1,"ASC 2"
"1350_1",1,1,"IgD+ve Memory"
"1351_1",1,1,"ASC 3"
"1352_1",1,1,"NAIVE 2"
"1353_1",1,1,"IgD+ve Memory"
"1355_1",1,1,"IgD+ve Memory"
"1356_1",1,1,"NAIVE 1"
"1357_1",1,1,"ASC 2"
"1358_1",1,1,"ASC 3"
"1359_1",1,1,"IgD+ve Memory"
"135_1",1,1,"ASC 2"
"1361_1",1,1,"IgD+ve Memory"
"1363_1",1,1,"ASC 3"
"1364_1",1,1,"IgD+ve Memory"
"1365_1",1,1,"NAIVE 1"
"1366_1",1,1,"IgD-ve Memory"
