"clone_subgroup_id","gex_annotation","N","mean_SHM","median_SHM","sd_SHM"
"1107_1","IgD-ve Memory",1,0.0327380952380952,0.0327380952380952,NA
"1108_1","NAIVE 1",1,0.0701754385964912,0.0701754385964912,NA
"1108_2","Early-Activation",1,0.0818713450292398,0.0818713450292398,NA
"1109_1","ASC 2",1,0.0238805970149254,0.0238805970149254,NA
"110_1","ASC 2",1,0.00595238095238095,0.00595238095238095,NA
"1110_1","HSP+",1,0.0372492836676218,0.0372492836676218,NA
"1111_1","Cell-Cycling",1,0.0410557184750733,0.0410557184750733,NA
"1112_1","NAIVE 1",1,0.0634441087613293,0.0634441087613293,NA
"1113_1","ASC 2",3,0.0291545189504373,0.0291545189504373,0
"1114_1","IgD-ve Memory",1,0.0650887573964497,0.0650887573964497,NA
"1114_2","Early-Activation",1,0.0787172011661808,0.0787172011661808,NA
"1115_1","NAIVE 1",1,0.00289017341040462,0.00289017341040462,NA
"1116_1","IgD-ve Memory",1,0.0263157894736842,0.0263157894736842,NA
"1117_1","ASC 2",1,0.0523255813953488,0.0523255813953488,NA
"1118_1","ASC 1",4,0.043731778425656,0.043731778425656,0
"1119_1","IgD-ve Memory",1,0.0345821325648415,0.0345821325648415,NA
"111_1","ASC 2",3,0.0455927051671733,0.0486322188449848,0.00526459212027014
"1120_1","IgD+ve Memory",1,0,0,NA
"1121_1","ASC 2",1,0.0263157894736842,0.0263157894736842,NA
"1122_1","ASC 2",1,0.0398860398860399,0.0398860398860399,NA
"1123_1","NAIVE 1",1,0.0116279069767442,0.0116279069767442,NA
"1124_1","IgD+ve Memory",1,0.048048048048048,0.048048048048048,NA
"1125_1","ASC 2",1,0.0647058823529412,0.0647058823529412,NA
"1126_1","NAIVE 1",1,0.121301775147929,0.121301775147929,NA
"1126_2","ASC 2",1,0.13905325443787,0.13905325443787,NA
"1127_1","ASC 2",1,0.0173913043478261,0.0173913043478261,NA
"1128_1","NAIVE 1",1,0.0240963855421687,0.0240963855421687,NA
"1129_1","IgD+ve Memory",2,0.0305810397553517,0.0305810397553517,0.00432481211734891
"1129_2","NAIVE 1",1,0.055045871559633,0.055045871559633,NA
"112_1","ASC 2",1,0.0239520958083832,0.0239520958083832,NA
"1130_1","NAIVE 1",1,0.0204081632653061,0.0204081632653061,NA
"1131_1","ASC 2",1,0.0552325581395349,0.0552325581395349,NA
"1132_1","ASC 2",1,0.0176470588235294,0.0176470588235294,NA
"1133_1","IgD-ve Memory",1,0.0236686390532544,0.0236686390532544,NA
"1134_1","ASC 3",1,0.00291545189504373,0.00291545189504373,NA
"1135_1","IgD+ve Memory",1,0.045045045045045,0.045045045045045,NA
"1136_1","IgD-ve Memory",1,0.0504451038575668,0.0504451038575668,NA
"1137_1","IgD-ve Memory",1,0.017910447761194,0.017910447761194,NA
"1138_1","Early-Activation",1,0.0680473372781065,0.0680473372781065,NA
"1139_1","IgD+ve Memory",1,0.0589970501474926,0.0589970501474926,NA
"113_1","IgD+ve Memory",1,0.0353982300884956,0.0353982300884956,NA
"1140_1","IgD-ve Memory",1,0.0540540540540541,0.0540540540540541,NA
"1141_1","NAIVE 1",1,0.0087719298245614,0.0087719298245614,NA
"1142_1","IgD-ve Memory",1,0.0207100591715976,0.0207100591715976,NA
"1143_1","ASC 3",1,0.0741839762611276,0.0741839762611276,NA
"1144_1","IgD-ve Memory",1,0.0557184750733138,0.0557184750733138,NA
"1145_1","ASC 3",1,0.0733137829912024,0.0733137829912024,NA
"1146_1","NAIVE 1",1,0.190615835777126,0.190615835777126,NA
"1147_1","NAIVE 1",1,0.0917159763313609,0.0917159763313609,NA
"1148_1","Cell-Cycling",1,0.00588235294117647,0.00588235294117647,NA
"1149_1","NAIVE 1",1,0.163265306122449,0.163265306122449,NA
"114_1","Cell-Cycling",1,0.0176991150442478,0.0176991150442478,NA
"1150_1","NAIVE 1",1,0.0087719298245614,0.0087719298245614,NA
"1151_1","ASC 2",1,0.0993975903614458,0.0993975903614458,NA
"1152_1","IgD-ve Memory",1,0,0,NA
"1153_1","ASC 2",1,0.00879765395894428,0.00879765395894428,NA
"1154_1","IgD-ve Memory",1,0,0,NA
"1155_1","NAIVE 1",1,0.121301775147929,0.121301775147929,NA
"1156_1","ASC 2",1,0.0917159763313609,0.0917159763313609,NA
"1157_1","IgD+ve Memory",1,0.12012012012012,0.12012012012012,NA
"1158_1","NAIVE 2",1,0,0,NA
"1159_1","NAIVE 1",1,0.0470588235294118,0.0470588235294118,NA
"115_1","ASC 2",1,0.110778443113772,0.110778443113772,NA
"1160_1","ASC 2",1,0.123893805309735,0.123893805309735,NA
"1161_1","ASC 2",1,0.0389221556886228,0.0389221556886228,NA
"1161_1","NAIVE 1",1,0.0419161676646707,0.0419161676646707,NA
"1162_1","IgD-ve Memory",1,0.0988372093023256,0.0988372093023256,NA
"1163_1","IgD-ve Memory",2,0.0583090379008746,0.0583090379008746,0
"1164_1","NAIVE 1",1,0.0207100591715976,0.0207100591715976,NA
"1165_1","ASC 2",3,0.0728862973760933,0.075801749271137,0.00504971080923871
"1166_1","NAIVE 2",1,0,0,NA
"1167_1","ASC 3",1,0,0,NA
"1168_1","NAIVE 2",1,0,0,NA
"1169_1","NAIVE 1",1,0,0,NA
"116_1","ASC 1",1,0.0417910447761194,0.0417910447761194,NA
"116_1","IgD+ve Memory",1,0.0477611940298507,0.0477611940298507,NA
"1170_1","ASC 2",2,0.00289017341040462,0.00289017341040462,0
"1171_1","NAIVE 2",1,0,0,NA
