gene,is_receptor_gene
LINC01277,FALSE
CRELD2,FALSE
AC092546.1,FALSE
HIST1H4F,FALSE
PLEK,FALSE
PCLO,FALSE
ODF1,FALSE
DNMT1,FALSE
AC093865.1,FALSE
LTC4S,FALSE
ALG5,FALSE
PDZRN3,FALSE
AC008014.1,FALSE
AC079760.2,FALSE
FEN1,FALSE
NEFH,FALSE
HIST1H2AJ,FALSE
SORL1,FALSE
AIM2,FALSE
SEC61A1,FALSE
AC245014.3,FALSE
KHDRBS3,FALSE
CEP55,FALSE
DLGAP5,FALSE
PHGDH,FALSE
TNFAIP3,FALSE
AC253572.2,FALSE
NET1,FALSE
ATAD2,FALSE
E2F8,FALSE
AL078604.4,FALSE
AC104699.1,FALSE
SHROOM3,FALSE
NRG2,FALSE
RUNX1,FALSE
GCHFR,FALSE
CFLAR,FALSE
ZNF695,FALSE
CDC6,FALSE
UQCRQ,FALSE
SPINK2,FALSE
RTKN2,FALSE
HCST,FALSE
FKBP2,FALSE
ABCB9,FALSE
CCR10,FALSE
EIF4A3,FALSE
ICAM1,FALSE
PPT2,FALSE
HMGA1,FALSE
AC124248.2,FALSE
ZCCHC12,FALSE
BSCL2,FALSE
GABARAPL1,FALSE
SEC24D,FALSE
CDKN1A,FALSE
NXPE4,FALSE
DCN,FALSE
EEPD1,FALSE
ABRACL,FALSE
PPARGC1A,FALSE
LINC01876,FALSE
HIST1H1A,FALSE
ABHD5,FALSE
LINC00276,FALSE
AL138963.4,FALSE
TIAM2,FALSE
RAB30,FALSE
BLM,FALSE
TMEM59,FALSE
IFI27L1,FALSE
SLC44A1,FALSE
AGR2,FALSE
HIPK2,FALSE
DNAJB4,FALSE
ELL3,FALSE
PLTP,FALSE
LINC02055,FALSE
HCG9,FALSE
ZNF185,FALSE
LINC01991,FALSE
ERGIC3,FALSE
DNAJC1,FALSE
MIXL1,FALSE
NLK,FALSE
CNTN4,FALSE
SPCS1,FALSE
SESN1,FALSE
LRRC26,FALSE
